Timestamp Time cx cy vx vy area ratio da_dt cx_ cy_ vx_ vy_ area_ dir label ID
1636236038716168253 2021-11-06T23:00:38.716170 280.706 471.706 -9.17624 3.82344 270 0.974194 0 271.53 475.529 -9.17624 3.82344 270 2 CAR 3
1636236038716314478 2021-11-06T23:00:38.716314 312.176 65.2926 10.7056 48.1753 7224.26 1.50691 4119.74 322.882 113.468 10.7056 48.1753 11344 2 CAR 44
1636236038776949049 2021-11-06T23:00:38.776952 9.96428 463.179 0.893057 -4.46528 648.709 0.909977 162.371 10.8573 458.713 0.893057 -4.46528 811.08 -2 CAR 1
1636236038777076011 2021-11-06T23:00:38.777076 282.093 469.151 -3.7728 0.560937 642.328 1.10494 157.071 278.32 469.712 -3.7728 0.560937 799.399 2 CAR 3
1636236038777171340 2021-11-06T23:00:38.777171 495.964 467 0.893057 0 422.667 0.714302 12.1066 496.857 467 0.893057 0 434.774 1 CAR 4
1636236038777279593 2021-11-06T23:00:38.777279 421.929 435.572 1.78611 -14.2889 1763.39 0.494605 548.002 423.715 421.283 1.78611 -14.2889 2311.4 -2 CAR 5
1636236038777385121 2021-11-06T23:00:38.777385 135.946 459.107 1.33958 -2.67917 1233.1 0.942186 139.582 137.286 456.428 1.33958 -2.67917 1372.68 -2 CAR 6
1636236038777493167 2021-11-06T23:00:38.777493 314.511 80.0353 6.42373 31.0733 9723.45 1.15804 3436.09 320.935 111.109 6.42373 31.0733 13159.5 2 CAR 44
1636236038829686408 2021-11-06T23:00:38.829689 315.519 88.3768 4.47246 22.8829 10753.9 0.947807 2655.83 319.992 111.26 4.47246 22.8829 13409.7 2 CAR 44
1636236038876341132 2021-11-06T23:00:38.876344 201.225 462.653 2.12255 -1.41142 697.588 0.736843 101.924 203.347 461.242 2.12255 -1.41142 799.511 -2 CAR 2
1636236038876449674 2021-11-06T23:00:38.876449 275.839 464.697 -3.42634 -0.935414 2357.16 1.67214 509.827 272.412 463.762 -3.42634 -0.935414 2866.99 -2 CAR 3
1636236038876561499 2021-11-06T23:00:38.876561 386.735 258.176 -8.44688 -53.572 14108.8 0.334033 3249.54 378.288 204.604 -8.44688 -53.572 17358.3 -2 CAR 5
1636236038876667993 2021-11-06T23:00:38.876668 142.524 372.877 2.36861 -24.0266 15300.9 0.715736 3450.93 144.892 348.85 2.36861 -24.0266 18751.8 -2 CAR 6
1636236038876770077 2021-11-06T23:00:38.876770 307.421 103.669 1.01931 20.7979 13479.9 0.863687 2674.21 308.44 124.467 1.01931 20.7979 16154.1 2 CAR 44
1636236038931694720 2021-11-06T23:00:38.931698 209.677 465.454 3.51424 -0.485269 698.906 0.79747 81.2747 213.192 464.969 3.51424 -0.485269 780.18 -2 CAR 2
1636236038931835343 2021-11-06T23:00:38.931835 277.963 466.131 -2.20857 -0.415749 2359.92 2.05725 403.167 275.755 465.715 -2.20857 -0.415749 2763.08 -2 CAR 3
1636236038931942446 2021-11-06T23:00:38.931942 511.132 470.74 3.52715 0.788855 372.455 0.932372 -4.89076 514.659 471.529 3.52715 0.788855 367.564 2 CAR 4
1636236038932094325 2021-11-06T23:00:38.932094 386.125 230.499 -6.72396 -47.879 17038.3 0.249028 3183.86 379.401 182.62 -6.72396 -47.879 20222.1 -2 CAR 5
1636236038932237160 2021-11-06T23:00:38.932237 149.361 367.981 3.35091 -19.8209 17946.6 0.612016 3285.65 152.712 348.16 3.35091 -19.8209 21232.2 -2 CAR 6
1636236038932369467 2021-11-06T23:00:38.932369 308.126 123.42 0.949536 20.5654 14971.4 0.801341 2416.06 309.075 143.985 0.949536 20.5654 17387.5 2 CAR 44
1636236038932427383 2021-11-06T23:00:38.932427 510.975 34.7815 0.933142 8.08723 1800.91 0.766866 430.426 511.908 42.8688 0.933142 8.08723 2231.34 2 CAR 104
